# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W3_MemoryBernoulli_model
# start_datetime = 2024-02-26 12:05:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpET6GqC/standata-44ac265bcf4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_MemoryBernoulli-202402261305-1-21ec3d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_MemoryBernoulli-profile-202402261305-1-18cddb.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=W3_MemoryBernoulli_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,bias,beta
# Adaptation terminated
# Step size = 0.268705
# Diagonal elements of inverse mass matrix:
# 0.0504955, 0.0344792
-78.2503,0.990002,0.268705,3,15,0,78.7883,0.307925,0.294124
-78.2786,0.984623,0.268705,3,15,0,81.3215,0.0425831,0.420696
-78.0303,0.996898,0.268705,3,15,0,79.0724,0.224616,0.274574
-78.3214,0.98517,0.268705,3,11,0,78.7047,0.023687,0.417761
-78.7841,0.950894,0.268705,1,3,0,79.606,-0.0586435,0.384501
-78.7642,0.998035,0.268705,2,7,0,79.4911,-0.0783935,0.442427
-80.202,0.920382,0.268705,3,7,0,82.2966,-0.0218741,0.177905
-79.6696,0.953771,0.268705,2,3,0,81.49,0.0259643,0.175415
-78.714,0.992177,0.268705,2,3,0,80.0124,0.0943255,0.210149
-78.1573,0.997568,0.268705,3,7,0,78.9289,0.203012,0.363363
-78.4462,0.972742,0.268705,2,7,0,79.2248,0.112359,0.232509
-78.4688,0.964504,0.268705,2,7,0,80.033,0.326053,0.323082
-78.9555,0.968442,0.268705,3,7,0,80.1986,-0.0354744,0.315949
-81.2971,0.902632,0.268705,2,3,0,81.5425,-0.2101,0.298118
-78.9638,1,0.268705,3,15,0,82.1845,0.0139729,0.256913
-78.0655,0.99874,0.268705,3,7,0,79.3906,0.18055,0.267542
-79.3634,0.985286,0.268705,3,11,0,80.0961,0.520551,-0.015772
-79.5553,0.981267,0.268705,4,23,0,80.5894,0.041211,0.623908
-78.566,0.998715,0.268705,3,7,0,79.6841,0.000292591,0.501812
-79.6168,0.934226,0.268705,2,7,0,80.7148,0.222336,0.532927
