# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W3_MemoryBernoulli_model
# start_datetime = 2024-02-26 12:05:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpET6GqC/standata-44ac265bcf4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_MemoryBernoulli-202402261305-2-21ec3d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_MemoryBernoulli-profile-202402261305-2-18cddb.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=W3_MemoryBernoulli_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,bias,beta
# Adaptation terminated
# Step size = 0.178265
# Diagonal elements of inverse mass matrix:
# 0.0391639, 0.0328065
-79.4951,0.983024,0.178265,4,15,0,80.92,-0.100508,0.647168
-78.8687,0.992989,0.178265,3,15,0,81.2686,0.189,0.483805
-78.5741,0.999884,0.178265,2,3,0,78.8911,0.180585,0.452678
-79.4427,0.997534,0.178265,4,27,0,80.094,0.369128,-0.0166758
-78.7663,0.999884,0.178265,4,23,0,79.9922,0.171071,0.4826
-78.6186,1,0.178265,2,3,0,78.7747,0.153602,0.47347
-78.3005,0.997649,0.178265,4,23,0,79.7962,0.345638,0.258071
-78.2889,0.999544,0.178265,4,23,0,78.4588,0.133889,0.242139
-78.1367,0.999403,0.178265,3,7,0,78.4036,0.189634,0.234406
-78.1529,0.999812,0.178265,2,3,0,78.1551,0.188782,0.230425
-78.4205,0.99662,0.178265,3,15,0,80.3735,0.373126,0.122491
-79.0361,0.995416,0.178265,4,15,0,79.6434,0.524005,0.10721
-79.0042,0.998725,0.178265,4,23,0,80.2811,-0.125165,0.514581
-79.0223,0.989762,0.178265,3,15,0,80.7536,-0.0957095,0.396203
-78.3805,0.992792,0.178265,2,7,0,79.8429,0.00712191,0.431705
-78.0572,0.999339,0.178265,4,31,0,78.8351,0.173642,0.278193
-78.2346,0.997844,0.178265,3,15,0,78.3016,0.183859,0.214211
-78.4985,0.997704,0.178265,4,31,0,78.8823,0.282048,0.118188
-79.2809,0.991743,0.178265,4,23,0,81.4267,-0.132918,0.6048
-79.5294,0.998342,0.178265,3,7,0,79.6248,-0.205584,0.554173
-79.1365,1,0.178265,4,15,0,79.9385,-0.0462898,0.59951
-78.4131,0.99959,0.178265,4,23,0,79.8472,0.0922501,0.46613
-78.9122,0.991819,0.178265,4,23,0,79.5454,0.113641,0.171118
-78.6127,0.998888,0.178265,5,31,0,79.6236,0.441998,0.179416
-78.5452,0.997223,0.178265,3,7,0,78.887,0.427637,0.186628
-83.9445,0.991374,0.178265,4,31,0,84.4461,-0.580101,0.958032
-83.964,0.999692,0.178265,2,3,0,84.0417,-0.588505,0.949815
-80.7166,0.998297,0.178265,4,15,0,84.8888,-0.282827,0.761729
-81.9742,0.996692,0.178265,3,7,0,82.0206,-0.461376,0.768629
-81.1446,0.997982,0.178265,2,7,0,82.4376,-0.369932,0.755583
-79.6869,0.999383,0.178265,4,15,0,81.3366,-0.130927,0.669688
-80.1343,0.983929,0.178265,3,7,0,80.9834,0.0307804,0.676408
-80.3615,0.996763,0.178265,2,3,0,80.4039,0.0466221,0.686489
-80.1196,0.999973,0.178265,4,15,0,80.6867,-0.195921,0.387485
-80.2308,0.997674,0.178265,1,1,0,80.2327,-0.202777,0.384668
-78.2216,0.998516,0.178265,3,7,0,80.669,0.05891,0.36383
-79.7734,0.983245,0.178265,4,15,0,81.269,-0.140138,0.679692
-81.4967,0.971911,0.178265,3,15,0,82.4542,-0.2829,0.376073
-78.7942,0.999816,0.178265,5,31,0,81.7129,-0.0803189,0.512811
-79.1351,0.991751,0.178265,3,7,0,79.3941,-0.119937,0.417407
-78.284,1,0.178265,4,15,0,79.4684,0.0831219,0.438299
-79.3354,0.997637,0.178265,4,23,0,79.9349,0.51781,-0.0123152
-78.6565,0.996916,0.178265,4,15,0,79.7796,0.392448,0.0732717
-78.5028,0.992819,0.178265,2,7,0,79.2895,0.423388,0.147772
-78.5753,0.999996,0.178265,4,15,0,78.6118,0.430217,0.111967
-78.202,0.996959,0.178265,4,31,0,79.4658,0.20958,0.370463
-78.0339,0.996198,0.178265,2,7,0,78.6085,0.170071,0.314467
-79.0817,0.977063,0.178265,3,11,0,79.8426,0.299051,0.428126
-78.045,0.99113,0.178265,3,11,0,80.0843,0.1709,0.289906
-78.2917,0.998556,0.178265,4,15,0,78.3864,0.101638,0.438135
-78.9199,0.983447,0.178265,3,15,0,80.3812,0.234961,0.459435
-79.2228,0.998609,0.178265,4,31,0,81.2441,0.131059,0.55257
-78.8048,0.999842,0.178265,3,7,0,79.2976,0.090597,0.525877
-78.7155,0.987531,0.178265,3,7,0,79.8187,0.114587,0.504702
-78.2606,0.998815,0.178265,4,23,0,79.1041,0.251294,0.171805
-78.8957,0.98589,0.178265,3,7,0,79.2552,0.222722,0.0986767
-81.3756,0.991149,0.178265,4,19,0,85.1025,0.644958,-0.208887
-78.8509,0.997717,0.178265,4,31,0,82.3717,0.348436,0.358148
-79.1108,0.995813,0.178265,3,7,0,79.475,0.409172,0.327768
-78.0382,1,0.178265,3,7,0,79.1781,0.235519,0.280477
-78.1094,0.999002,0.178265,3,15,0,78.1351,0.237709,0.322757
-78.9539,0.990902,0.178265,3,7,0,79.0554,0.363484,0.356241
-79.782,0.999206,0.178265,4,19,0,80.1949,0.404876,-0.0562223
-79.4983,0.999898,0.178265,4,15,0,80.2497,0.514238,-0.0374676
-79.3028,0.993083,0.178265,3,15,0,80.2152,0.553664,0.133153
-79.3067,0.992807,0.178265,4,15,0,80.3775,0.242163,0.0497234
-78.0539,0.991749,0.178265,4,15,0,80.4466,0.178329,0.337448
-78.3333,0.990909,0.178265,4,31,0,80.8338,0.0222532,0.384263
-78.1835,0.999281,0.178265,3,15,0,78.5261,0.0744836,0.391121
-78.3128,0.998379,0.178265,3,7,0,78.3416,0.0443569,0.343136
-79.3649,0.974236,0.178265,3,7,0,80.389,-0.12447,0.380799
-81.5584,0.983087,0.178265,4,15,0,83.9297,-0.166926,0.841407
-82.9814,0.982244,0.178265,4,15,0,86.7499,-0.534058,0.86108
-78.6898,0.999354,0.178265,4,15,0,83.5304,-0.0495535,0.510778
-83.1557,0.977485,0.178265,4,15,0,84.1424,-0.335153,0.9721
-81.6198,0.9992,0.178265,3,7,0,83.3276,-0.394229,0.81483
-81.6314,0.999924,0.178265,2,3,0,81.6825,-0.386854,0.823099
-78.928,0.995264,0.178265,4,15,0,82.2327,-0.0694049,0.561607
-79.3642,0.997495,0.178265,3,11,0,79.6666,-0.176444,0.575869
-78.8241,0.994211,0.178265,4,23,0,80.6857,0.40678,0.0459195
-79.5393,0.988942,0.178265,4,15,0,80.6795,0.499128,-0.0448184
-79.0606,0.999973,0.178265,4,15,0,79.5634,0.486784,0.022893
-78.0937,0.994845,0.178265,4,19,0,79.8098,0.130385,0.366126
-78.9395,0.995872,0.178265,3,15,0,80.313,0.500089,0.0677068
-78.0939,0.998524,0.178265,4,15,0,79.1879,0.286181,0.242708
-78.3168,0.977805,0.178265,2,7,0,79.8734,0.325538,0.290907
-79.2035,0.989318,0.178265,3,7,0,79.3682,0.340074,0.405793
-78.7214,1,0.178265,3,7,0,79.2914,0.289653,0.39467
-78.8214,0.998822,0.178265,2,3,0,78.8449,0.301417,0.397187
-78.3971,0.99215,0.178265,3,15,0,79.9697,0.198501,0.175165
-79.1453,0.991627,0.178265,3,7,0,79.3138,0.0966613,0.161292
-78.3322,0.992433,0.178265,4,15,0,80.6547,0.294804,0.142923
-78.3051,0.99976,0.178265,4,15,0,78.4844,0.370075,0.173653
-78.1848,0.999979,0.178265,3,7,0,78.3177,0.329825,0.206052
-78.1091,0.998875,0.178265,3,15,0,78.4425,0.246409,0.21471
-78.475,0.996105,0.178265,3,7,0,78.5457,0.258099,0.131533
-78.3725,0.999274,0.178265,3,7,0,78.5765,0.243318,0.154475
-78.1034,0.999276,0.178265,4,31,0,78.7519,0.140539,0.371997
-78.4753,0.989729,0.178265,2,7,0,78.9409,0.182624,0.437308
-78.5775,0.999468,0.178265,3,7,0,78.5957,0.179766,0.453618
-79.7407,0.998429,0.178265,4,23,0,80.5089,0.479089,-0.0663707
-79.2374,0.999669,0.178265,3,7,0,79.8355,0.490991,-0.00580631
-80.7298,0.976027,0.178265,3,15,0,81.3232,0.617442,0.242604
-79.3345,0.995589,0.178265,3,7,0,81.4795,0.551148,0.150119
-80.5265,0.99633,0.178265,4,15,0,80.7901,0.473639,-0.130437
-78.9479,0.999518,0.178265,4,31,0,81.2295,0.180075,0.497774
-79.3178,0.998743,0.178265,4,31,0,79.8505,0.135626,0.559109
-80.3175,0.995686,0.178265,3,15,0,84.467,-0.120399,0.73554
-81.2294,0.981487,0.178265,3,7,0,82.1052,0.0480867,0.743349
-79.1956,1,0.178265,4,15,0,81.7736,0.0654357,0.182649
-79.7309,0.983945,0.178265,2,3,0,80.0555,0.0337059,0.163589
-78.5274,0.994187,0.178265,4,23,0,81.9414,0.0207078,0.31817
-79.475,0.992358,0.178265,4,15,0,80.3276,-0.00447926,0.631499
-79.6909,0.999923,0.178265,4,15,0,80.0599,-0.226995,0.560375
-79.5446,0.989076,0.178265,4,15,0,81.2344,-0.123583,0.353332
-78.86,0.999716,0.178265,3,7,0,79.6264,-0.0724132,0.3911
-78.8427,0.997565,0.178265,3,7,0,79.1369,-0.0491514,0.354824
-78.3764,0.999213,0.178265,3,11,0,79.0075,0.0970115,0.457731
-78.1757,0.999976,0.178265,4,31,0,78.5032,0.278915,0.185019
-78.2959,0.998294,0.178265,2,7,0,78.3415,0.273972,0.156198
-78.4058,0.994227,0.178265,3,15,0,79.1929,0.299343,0.338341
-78.0337,0.999988,0.178265,3,11,0,78.4012,0.230778,0.269372
-78.567,0.99318,0.178265,3,7,0,78.6447,0.0950901,0.22946
-78.1293,0.999804,0.178265,3,15,0,78.8449,0.243056,0.208645
-78.3979,0.986343,0.178265,4,15,0,79.8276,0.335653,0.12323
-79.7453,0.978187,0.178265,4,15,0,80.9104,0.230179,0.538011
-79.0535,0.992062,0.178265,2,5,0,80.564,0.200141,0.496434
-79.1612,0.996935,0.178265,3,9,0,79.8013,-0.0905789,0.361021
-78.8529,0.993617,0.178265,4,31,0,81.4648,0.492451,0.133769
-78.1977,1,0.178265,4,23,0,78.8957,0.178273,0.226415
-78.2022,0.996944,0.178265,4,23,0,79.284,0.336266,0.199872
-78.7712,0.99812,0.178265,3,15,0,79.0409,0.460013,0.0740251
-78.3625,0.99655,0.178265,4,23,0,79.3305,0.21531,0.170768
-78.0887,0.999777,0.178265,2,7,0,78.4087,0.239892,0.224917
-78.82,0.990984,0.178265,4,31,0,79.4117,0.121612,0.514489
-78.989,0.997872,0.178265,2,3,0,78.9996,0.13792,0.525466
-78.9157,0.999852,0.178265,2,3,0,79.0171,0.13355,0.519713
-79.9006,0.998699,0.178265,4,31,0,80.196,0.417207,-0.0692093
-80.1032,0.995828,0.178265,2,3,0,80.2639,0.431186,-0.0887524
-78.4139,1,0.178265,4,15,0,80.3373,0.331309,0.306634
-78.476,0.998255,0.178265,3,15,0,79.5631,0.391582,0.114119
-78.6316,0.999547,0.178265,3,7,0,78.6361,0.422717,0.0866004
-79.0374,0.995817,0.178265,4,23,0,80.1179,-0.12289,0.545586
-78.7438,0.997617,0.178265,4,15,0,79.5022,-0.0178243,0.537061
-78.0538,0.998075,0.178265,5,31,0,80.766,0.215567,0.315945
-78.0651,0.999032,0.178265,4,15,0,78.1957,0.240481,0.236767
-78.7588,0.980198,0.178265,4,15,0,80.7598,0.454138,0.0726013
-78.4877,0.994551,0.178265,3,15,0,79.8398,0.242763,0.136887
-78.5728,0.998072,0.178265,3,15,0,78.8851,0.173217,0.16656
-79.0648,0.989223,0.178265,3,7,0,79.519,0.181717,0.107044
-79.636,0.980704,0.178265,1,3,0,80.0761,0.153786,0.0777813
-78.5426,0.995847,0.178265,3,7,0,80.4388,0.261885,0.120151
-81.064,0.965085,0.178265,3,7,0,81.7913,0.0722926,0.0448779
-79.2748,0.999143,0.178265,3,7,0,81.4056,0.192136,0.0816216
-78.2283,0.989048,0.178265,4,15,0,81.1099,0.329528,0.172098
-78.4407,0.999268,0.178265,3,7,0,78.4488,0.383915,0.12107
-78.3572,0.99785,0.178265,3,11,0,78.6893,0.386672,0.171212
-78.7096,0.992701,0.178265,3,11,0,79.0417,0.38705,0.296233
-79.2916,0.998967,0.178265,4,31,0,79.868,-0.164955,0.486522
-79.9515,0.998743,0.178265,4,15,0,80.3682,-0.204296,0.687826
-79.6565,0.999748,0.178265,4,15,0,80.114,-0.221391,0.586249
-81.1369,0.991996,0.178265,3,15,0,83.1842,-0.323235,0.797144
-81.8743,0.998219,0.178265,3,7,0,81.9748,-0.438848,0.802672
-78.5661,0.993226,0.178265,4,15,0,83.0488,-0.037856,0.421031
-78.0805,0.999767,0.178265,4,15,0,78.6675,0.14247,0.359455
-78.5352,0.985175,0.178265,2,7,0,79.2761,0.207566,0.430762
-78.3899,0.999991,0.178265,4,15,0,78.6013,0.169079,0.195983
-79.1735,0.99315,0.178265,4,23,0,80.2937,0.54069,0.0524113
-78.4358,0.997446,0.178265,4,15,0,79.5236,0.0829216,0.262654
-78.656,0.997887,0.178265,3,7,0,78.7172,0.0456203,0.265269
-79.0045,0.996904,0.178265,3,7,0,79.148,-0.0112724,0.279602
-78.0878,0.998651,0.178265,3,15,0,79.4439,0.189837,0.250668
-78.1081,0.99865,0.178265,4,23,0,79.1708,0.117292,0.318716
-78.3513,0.995305,0.178265,4,31,0,79.152,0.0938035,0.453241
-80.4088,0.9877,0.178265,4,15,0,80.8189,-0.273315,0.482753
-79.0207,0.997077,0.178265,4,23,0,81.1326,0.32816,0.396975
-79.2627,0.990072,0.178265,4,23,0,81.9277,-0.163139,0.559766
-80.0288,0.977115,0.178265,4,19,0,82.0113,0.321602,0.492644
-80.2999,0.996507,0.178265,3,7,0,80.609,0.322958,0.511414
-78.2411,0.978774,0.178265,3,11,0,82.8083,0.170035,0.402301
-78.5081,0.993397,0.178265,3,15,0,79.0587,0.321078,0.335116
-78.7258,0.995977,0.178265,4,19,0,79.3667,0.334284,0.0698038
-78.8728,0.999202,0.178265,4,15,0,79.0087,0.484154,0.174539
-79.4328,0.933441,0.178265,2,7,0,84.7072,0.333832,-0.00347723
