# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W3_SimpleBernoulli_model
# start_datetime = 2024-02-26 09:28:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpET6GqC/standata-44ac701461c4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli-202402261028-1-0a37f7.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli-profile-202402261028-1-594215.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=W3_SimpleBernoulli_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.236001
# Diagonal elements of inverse mass matrix:
# 0.0593235
-64.7006,0.967834,0.236001,3,11,0,65.6596,0.872259
-65.9989,0.988815,0.236001,3,9,0,67.4993,0.6784
-62.9945,0.998596,0.236001,4,15,0,66.5381,0.846054
-63.386,0.992332,0.236001,1,3,0,63.7179,0.853535
-63.3853,1,0.236001,1,1,0,63.4066,0.853522
-62.1082,0.997958,0.236001,2,7,0,63.7889,0.819435
-62.0864,0.999806,0.236001,2,3,0,62.132,0.818323
-61.9012,0.998745,0.236001,3,9,0,62.3158,0.803856
-61.9283,0.995013,0.236001,3,11,0,62.5092,0.782609
-61.9484,0.999521,0.236001,1,3,0,61.9614,0.780525
-61.9798,0.988852,0.236001,2,7,0,63.2768,0.811719
-62.6745,0.988321,0.236001,4,15,0,64.0021,0.746316
-62.0727,0.99616,0.236001,2,5,0,63.0556,0.77128
-61.8826,0.997974,0.236001,3,9,0,62.3879,0.789665
-61.8745,0.999758,0.236001,3,11,0,61.9151,0.797786
-61.9994,0.99693,0.236001,3,15,0,62.187,0.776211
-61.9042,0.999993,0.236001,3,15,0,62.0072,0.804298
-61.8801,0.991063,0.236001,3,11,0,62.9899,0.790307
-61.888,0.998441,0.236001,3,11,0,62.0564,0.801632
-62.0155,0.996557,0.236001,2,7,0,62.1903,0.814206
-61.8728,0.996873,0.236001,2,7,0,62.3848,0.796786
-61.8831,0.995768,0.236001,4,15,0,62.4569,0.789524
-61.8728,0.999821,0.236001,2,7,0,61.9072,0.796796
-62.4399,0.99492,0.236001,4,15,0,62.6245,0.754367
-62.2582,0.998249,0.236001,1,3,0,62.592,0.76175
-62.8904,0.992807,0.236001,3,7,0,62.9183,0.739817
-62.8734,0.999544,0.236001,2,3,0,62.9594,0.740306
-62.3859,0.985485,0.236001,3,9,0,64.8688,0.830426
-62.6459,0.988197,0.236001,3,9,0,64.4654,0.747233
-64.5358,0.969192,0.236001,2,5,0,65.459,0.702952
-63.4977,0.998175,0.236001,3,11,0,65.3262,0.85545
-63.2815,1,0.236001,4,15,0,63.5075,0.851664
-63.2654,1,0.236001,1,1,0,63.2937,0.851368
-63.4109,0.999451,0.236001,3,7,0,63.4382,0.85397
-62.0204,0.997279,0.236001,3,11,0,64.0413,0.814525
-62.0246,0.999936,0.236001,1,1,0,62.0254,0.81479
-61.885,0.999992,0.236001,4,15,0,62.0307,0.800991
-61.8877,0.999949,0.236001,2,3,0,61.8889,0.801566
-62.3216,0.994104,0.236001,4,15,0,62.7383,0.828252
-61.8717,0.98875,0.236001,2,7,0,63.7949,0.794922
-61.8725,0.999926,0.236001,4,15,0,61.8821,0.793654
-62.0807,0.995309,0.236001,3,15,0,62.3483,0.81802
-62.5879,0.993528,0.236001,2,5,0,62.6508,0.83642
-62.0255,0.995865,0.236001,2,7,0,63.129,0.814844
-62.4156,0.981218,0.236001,2,7,0,64.1269,0.831383
-62.425,0.999867,0.236001,1,1,0,62.4292,0.83168
-61.9498,0.999219,0.236001,2,7,0,62.5717,0.809269
-62.1094,0.992418,0.236001,3,11,0,62.898,0.769136
-62.1745,0.998619,0.236001,1,3,0,62.2015,0.765695
-62.1959,0.999614,0.236001,1,1,0,62.1959,0.764644
-61.9649,0.99902,0.236001,2,7,0,62.3264,0.779008
-62.1176,0.997921,0.236001,3,7,0,62.1527,0.768683
-61.9621,0.99545,0.236001,4,15,0,62.8945,0.810322
-61.9276,0.992131,0.236001,4,15,0,63.1795,0.807119
-61.8725,0.999126,0.236001,2,7,0,62.0569,0.796577
-62.1109,0.990542,0.236001,2,7,0,62.7802,0.819568
-62.6647,0.974639,0.236001,2,7,0,65.0112,0.838443
-63.3804,0.979443,0.236001,2,7,0,64.9971,0.853437
-63.3309,1,0.236001,1,1,0,63.3832,0.852559
-62.4632,0.997279,0.236001,2,5,0,63.7422,0.832856
-63.5821,0.991985,0.236001,3,15,0,63.7738,0.722386
-64.5615,0.978845,0.236001,3,11,0,66.5077,0.870585
-64.2338,0.999617,0.236001,3,7,0,64.7339,0.866407
-64.5362,0.99324,0.236001,3,7,0,65.3923,0.870274
-64.6238,0.998952,0.236001,2,3,0,64.728,0.871341
-63.8705,0.995598,0.236001,2,5,0,65.3822,0.861317
