# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W3_SimpleBernoulli_model
# start_datetime = 2024-02-26 09:28:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpET6GqC/standata-44ac701461c4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli-202402261028-2-0a37f7.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli-profile-202402261028-2-594215.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=W3_SimpleBernoulli_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.337039
# Diagonal elements of inverse mass matrix:
# 0.0514756
-62.9091,0.983573,0.337039,1,3,0,63.2835,0.844223
-62.8403,0.999626,0.337039,3,9,0,63.0298,0.741264
-61.929,0.991741,0.337039,2,5,0,63.4925,0.807263
-61.918,0.99476,0.337039,2,7,0,62.318,0.783814
-62.326,0.990592,0.337039,3,9,0,62.4629,0.828406
-61.9215,0.999473,0.337039,4,15,0,62.4426,0.806449
-62.6745,0.929625,0.337039,2,7,0,66.2992,0.838694
-62.3027,0.994894,0.337039,1,3,0,63.0199,0.827577
-62.8623,0.99328,0.337039,3,9,0,62.8974,0.740625
-62.2323,0.985256,0.337039,2,5,0,63.7002,0.762922
-61.9657,0.991204,0.337039,2,5,0,62.7617,0.778938
-61.9582,0.985873,0.337039,3,7,0,62.7618,0.779612
-61.8728,0.998853,0.337039,2,7,0,62.0444,0.793362
-61.8931,0.995539,0.337039,2,7,0,62.1469,0.802574
-62.2691,0.994921,0.337039,4,15,0,62.3084,0.826341
-61.8717,0.998592,0.337039,2,5,0,62.4088,0.795366
-61.8756,0.999856,0.337039,2,7,0,61.88,0.798283
-61.9968,0.993628,0.337039,2,7,0,62.2637,0.776404
-63.4413,0.953183,0.337039,2,7,0,64.9374,0.854494
-63.9174,0.997825,0.337039,4,15,0,63.9739,0.715107
-64.0738,0.994317,0.337039,1,1,0,64.0904,0.711895
-64.0464,1,0.337039,2,3,0,64.135,0.71245
-63.2813,0.997877,0.337039,3,7,0,64.3675,0.729479
-63.1879,0.998185,0.337039,2,3,0,63.4302,0.731818
-63.0416,1,0.337039,1,1,0,63.1836,0.735636
-62.5406,0.981925,0.337039,3,7,0,64.3225,0.750751
-62.076,1,0.337039,3,7,0,62.5304,0.771079
-62.0618,0.999912,0.337039,3,7,0,62.095,0.771948
-62.1796,0.995392,0.337039,1,3,0,62.2375,0.765443
-62.3787,0.991978,0.337039,1,3,0,62.4795,0.756711
-62.1064,0.994639,0.337039,1,3,0,62.6383,0.769308
-62.3909,0.995733,0.337039,3,9,0,62.424,0.83059
-63.1038,0.986597,0.337039,4,15,0,63.8873,0.848281
-62.3687,0.986428,0.337039,2,5,0,64.2658,0.829861
-62.3544,1,0.337039,1,1,0,62.3753,0.82938
-62.1141,0.999694,0.337039,3,9,0,62.3878,0.768874
-61.8731,0.964126,0.337039,2,7,0,64.2001,0.796995
-61.9058,0.996993,0.337039,2,7,0,62.0699,0.804518
-62.0044,0.996337,0.337039,2,7,0,62.1851,0.775839
-61.8739,0.99627,0.337039,3,9,0,62.2558,0.7975
-61.9676,0.996066,0.337039,4,15,0,62.1663,0.810776
-61.9009,0.999625,0.337039,4,15,0,62.029,0.786153
-61.8719,0.996206,0.337039,2,7,0,62.1583,0.795762
-61.9002,0.999041,0.337039,2,7,0,61.9342,0.803706
-61.8834,0.998223,0.337039,2,7,0,62.0382,0.789465
-62.0312,0.989722,0.337039,3,9,0,62.4645,0.815197
-61.9876,0.997574,0.337039,4,15,0,62.318,0.812297
-61.9493,0.998069,0.337039,4,15,0,62.2074,0.780436
-62.0095,0.997421,0.337039,1,3,0,62.0501,0.775463
-61.9934,0.994075,0.337039,3,9,0,62.3962,0.81271
-63.1742,0.966775,0.337039,2,7,0,64.0085,0.849654
-63.024,0.999581,0.337039,2,3,0,63.2364,0.846667
-63.3137,0.991064,0.337039,2,3,0,63.5165,0.85225
-63.6499,0.996745,0.337039,3,9,0,63.7468,0.720865
-62.4426,1,0.337039,3,7,0,63.6363,0.754268
-62.7607,0.99439,0.337039,3,11,0,62.8973,0.840821
-61.9117,0.990626,0.337039,2,5,0,63.5109,0.805291
-61.8783,0.990455,0.337039,2,7,0,62.5425,0.79085
-61.8789,0.999949,0.337039,2,3,0,61.8808,0.790661
-62.3464,0.981366,0.337039,2,5,0,62.7975,0.757998
-62.1635,0.986307,0.337039,2,7,0,63.3955,0.822033
-62.1738,0.99973,0.337039,1,1,0,62.1776,0.822489
-61.8722,0.995008,0.337039,2,7,0,62.5826,0.796223
-61.9292,0.993394,0.337039,2,7,0,62.2931,0.807282
-61.9054,0.995694,0.337039,2,7,0,62.2601,0.785488
-61.9095,0.999959,0.337039,2,3,0,61.9095,0.78491
-61.9069,1,0.337039,1,1,0,61.9096,0.785273
-61.9715,0.997997,0.337039,3,7,0,62.031,0.778439
-62.0098,0.994339,0.337039,2,7,0,62.3539,0.813833
-61.8739,0.999982,0.337039,3,9,0,62.0072,0.79751
-61.8816,0.999674,0.337039,2,7,0,61.8944,0.789903
-62.9709,0.959297,0.337039,3,11,0,64.0709,0.73756
-62.6483,0.996896,0.337039,2,3,0,63.1555,0.747153
-62.7636,0.999346,0.337039,4,15,0,62.8302,0.743549
-62.9766,0.994821,0.337039,3,7,0,63.2389,0.737404
-62.4675,0.992953,0.337039,1,3,0,63.3044,0.753351
-62.4352,1,0.337039,1,1,0,62.4725,0.754542
-62.4893,0.998211,0.337039,1,1,0,62.4911,0.752559
