# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W3_SimpleBernoulli_logodds_model
# start_datetime = 2024-02-26 09:55:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpET6GqC/standata-44ac464012a2.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli_logodds-202402261055-1-851e48.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli_logodds-profile-202402261055-1-166edb.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=W3_SimpleBernoulli_logodds_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.396718
# Diagonal elements of inverse mass matrix:
# 0.0589427
-62.8937,0.999558,0.396718,3,7,0,62.9069,1.63916
-62.093,0.976692,0.396718,2,5,0,64.0311,1.463
-62.3846,0.988556,0.396718,2,7,0,62.5739,1.54268
-62.302,1,0.396718,1,1,0,62.3811,1.52312
-62.0176,0.995147,0.396718,2,7,0,62.5538,1.43424
-61.8947,0.994148,0.396718,2,5,0,62.2638,1.35496
-62.2258,0.987553,0.396718,2,5,0,62.3385,1.50336
-62.0038,0.995181,0.396718,1,3,0,62.3975,1.4282
-62.0503,0.998482,0.396718,2,3,0,62.062,1.44745
-62.4344,0.97241,0.396718,1,3,0,62.8229,1.55372
-61.9832,0.985253,0.396718,2,5,0,63.1109,1.41849
-61.9083,0.998347,0.396718,2,7,0,62.0617,1.37005
-62.8912,0.968786,0.396718,2,7,0,63.0217,1.01686
-63.0236,0.992506,0.396718,1,1,0,63.0362,0.998178
-62.8281,1,0.396718,1,1,0,63.0144,1.02622
-62.1967,0.985587,0.396718,1,3,0,63.2434,1.14818
-62.2185,0.964012,0.396718,2,5,0,63.5829,1.50136
-61.9326,0.989946,0.396718,2,7,0,62.6914,1.38944
-63.0819,0.96724,0.396718,2,7,0,63.0914,1.66865
-62.9144,1,0.396718,2,3,0,63.0764,1.64252
-61.9939,0.997973,0.396718,2,7,0,63.062,1.42365
-61.8818,0.999056,0.396718,2,5,0,62.0454,1.32693
-61.9198,0.992749,0.396718,2,7,0,62.1293,1.25862
-61.8927,0.999249,0.396718,1,3,0,61.9428,1.28584
-62.0282,0.990905,0.396718,2,7,0,62.2259,1.43868
-62.1096,0.997479,0.396718,2,3,0,62.1185,1.46859
-61.8819,0.99766,0.396718,2,7,0,62.2239,1.32756
-61.882,0.999997,0.396718,1,1,0,61.882,1.32795
-61.8812,0.988953,0.396718,3,7,0,62.3351,1.32001
-62.925,0.953509,0.396718,2,7,0,63.5113,1.01198
-63.1868,0.985178,0.396718,1,1,0,63.1869,0.976663
-62.8368,0.99786,0.396718,2,3,0,63.3034,1.02491
-63.037,0.98872,0.396718,1,1,0,63.0387,0.996362
-61.9895,0.937138,0.396718,1,3,0,64.8897,1.21826
-62.0666,0.920442,0.396718,2,7,0,64.7401,1.45359
-62.2825,0.987736,0.396718,1,3,0,62.3981,1.51823
-62.8129,0.969055,0.396718,1,3,0,63.159,1.62572
-62.0297,0.998022,0.396718,3,7,0,63.0136,1.4393
-62.2355,0.987375,0.396718,1,3,0,62.3673,1.506
-62.6424,0.977447,0.396718,1,3,0,62.867,1.59543
-62.4895,0.999196,0.396718,2,3,0,62.7042,1.56541
-61.8813,0.993804,0.396718,2,5,0,62.8626,1.32185
-63.2863,0.956669,0.396718,2,7,0,63.3369,0.964233
-63.4611,0.989887,0.396718,1,1,0,63.4816,0.943471
-63.5819,0.997649,0.396718,2,3,0,63.6248,0.92983
-63.301,1,0.396718,1,1,0,63.5701,0.96244
-61.9035,0.995022,0.396718,2,7,0,63.7085,1.27304
-62.4465,0.9677,0.396718,3,7,0,63.255,1.09147
-62.2195,0.959057,0.396718,2,5,0,64.1783,1.50165
-61.897,0.998242,0.396718,2,7,0,62.3061,1.35791
-61.8813,0.998707,0.396718,2,7,0,61.9491,1.32282
-62.0931,0.989914,0.396718,2,7,0,62.23,1.17862
-62.4897,0.979626,0.396718,2,5,0,62.9269,1.56546
-62.441,1,0.396718,1,1,0,62.4955,1.55514
-62.5016,0.997442,0.396718,1,1,0,62.5068,1.56791
-61.9279,0.998589,0.396718,2,7,0,62.6216,1.38611
-62.098,0.98477,0.396718,3,15,0,62.4977,1.17702
-61.8987,0.994727,0.396718,2,5,0,62.3654,1.35995
-62.2799,0.960298,0.396718,3,7,0,63.4411,1.51758
-62.1793,0.969605,0.396718,2,7,0,63.6861,1.15288
-62.7052,0.962912,0.396718,1,3,0,63.0404,1.04541
-62.3459,0.985043,0.396718,2,7,0,63.4796,1.53372
-62.6507,0.983568,0.396718,2,3,0,62.8326,1.59698
-61.883,0.980526,0.396718,3,7,0,63.7941,1.30572
-61.8814,0.999999,0.396718,2,7,0,61.8831,1.3141
-61.8872,0.999373,0.396718,2,5,0,61.9023,1.295
-61.9222,0.996631,0.396718,1,3,0,61.9777,1.25675
-62.1001,0.983871,0.396718,1,3,0,62.3348,1.17634
-62.6186,0.986029,0.396718,2,7,0,62.6221,1.05987
-62.708,0.998345,0.396718,2,3,0,62.7182,1.04497
-62.3241,0.997302,0.396718,3,15,0,62.906,1.52852
-62.1206,0.972184,0.396718,2,5,0,63.6317,1.16989
-61.9116,0.946712,0.396718,2,5,0,64.0257,1.37313
-61.8911,0.999648,0.396718,2,5,0,61.9308,1.2882
-61.9289,0.98598,0.396718,2,7,0,62.3864,1.38682
-61.8814,0.994628,0.396718,2,5,0,62.1591,1.31462
-62.7626,0.958709,0.396718,2,7,0,63.232,1.03627
-62.6744,1,0.396718,2,3,0,62.7705,1.05046
-62.1737,0.990719,0.396718,1,3,0,62.9588,1.15442
-61.8821,0.997311,0.396718,2,7,0,62.3006,1.30951
-61.8845,0.999728,0.396718,2,7,0,61.8916,1.33683
-61.8845,1,0.396718,1,1,0,61.8847,1.33684
-61.8824,0.999823,0.396718,2,7,0,61.8924,1.3082
-61.9751,0.994967,0.396718,2,7,0,62.0594,1.41441
-62.1215,0.990519,0.396718,1,3,0,62.225,1.47252
-62.3221,0.989509,0.396718,2,3,0,62.4161,1.52803
-62.1699,0.99468,0.396718,3,7,0,62.687,1.48751
-61.8814,0.997709,0.396718,2,7,0,62.3327,1.3235
-62.386,0.983634,0.396718,2,7,0,62.4175,1.543
-62.467,0.998854,0.396718,2,3,0,62.468,1.5607
-61.9147,0.985171,0.396718,2,7,0,63.1787,1.26268
-62.2855,0.991555,0.396718,3,7,0,62.2887,1.126
-61.9025,0.999146,0.396718,3,7,0,62.3652,1.274
-62.1345,0.978827,0.396718,2,7,0,62.5983,1.1657
-63.788,0.92974,0.396718,2,7,0,64.5996,1.7637
-63.9308,0.994744,0.396718,1,1,0,63.9574,1.78082
-61.9536,0.989522,0.396718,2,5,0,64.6528,1.4027
-62.1853,0.981343,0.396718,1,3,0,62.4748,1.49202
-62.2385,0.992809,0.396718,3,7,0,62.6206,1.50681
-62.2739,0.998463,0.396718,1,1,0,62.2781,1.51605
-62.2095,1,0.396718,1,1,0,62.2711,1.49887
-63.7094,0.94976,0.396718,2,5,0,64.4164,0.91597
-63.8234,0.999038,0.396718,3,7,0,63.8819,0.904007
-62.5628,1,0.396718,3,7,0,63.7528,1.06966
-62.2881,1,0.396718,2,3,0,62.5783,1.12538
-63.4262,0.972794,0.396718,3,7,0,63.619,0.947513
-63.2008,1,0.396718,1,1,0,63.4215,0.974885
-62.1774,0.96205,0.396718,1,3,0,64.2343,1.1534
