# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W3_SimpleBernoulli_logodds_model
# start_datetime = 2024-02-26 09:55:17 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpET6GqC/standata-44ac464012a2.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli_logodds-202402261055-2-851e48.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli_logodds-profile-202402261055-2-166edb.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=W3_SimpleBernoulli_logodds_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.406721
# Diagonal elements of inverse mass matrix:
# 0.0473375
-63.7848,0.936788,0.406721,2,7,0,64.5404,1.76331
-63.7848,0.991194,0.406721,1,1,0,64.0606,1.76331
-64.4436,0.986355,0.406721,2,3,0,64.5256,1.83828
-62.2391,0.991564,0.406721,2,7,0,65.0124,1.50695
-62.7766,0.975835,0.406721,2,5,0,63.6597,1.03409
-62.2468,0.989837,0.406721,1,3,0,63.1219,1.13531
-62.2101,0.998111,0.406721,3,7,0,62.4083,1.14464
-62.7848,0.961632,0.406721,1,3,0,63.2623,1.03282
-62.6921,1,0.406721,1,1,0,62.7876,1.04756
-62.3394,1,0.406721,2,3,0,62.6881,1.11375
-62.8185,0.973632,0.406721,1,3,0,63.0503,1.02767
-62.1913,0.982849,0.406721,1,3,0,63.3809,1.14961
-63.0595,0.934521,0.406721,1,3,0,64.0921,0.993322
-62.5788,1,0.406721,2,3,0,63.0642,1.06681
-62.3523,0.994892,0.406721,2,3,0,62.7785,1.11094
-62.8405,0.973234,0.406721,1,3,0,63.0738,1.02435
-62.202,0.982787,0.406721,1,3,0,63.4042,1.14675
-62.1034,0.969921,0.406721,2,7,0,63.5282,1.46655
-62.1359,0.998778,0.406721,1,1,0,62.1361,1.47711
-61.8819,0.999785,0.406721,2,7,0,62.1523,1.32713
-61.8835,0.999951,0.406721,4,15,0,61.8844,1.30406
-62.3093,0.983339,0.406721,2,7,0,62.5767,1.12049
-62.7503,0.98014,0.406721,3,7,0,63.3752,1.0382
-62.0807,0.976957,0.406721,3,7,0,64.0526,1.18271
-62.8232,0.978384,0.406721,3,7,0,63.1605,1.02695
-63.2579,0.968349,0.406721,2,3,0,63.7088,0.967727
-62.0912,0.987274,0.406721,2,5,0,63.9394,1.46238
-62.0679,1,0.406721,1,1,0,62.0909,1.45406
-61.8901,0.98901,0.406721,2,7,0,62.6383,1.34819
-63.0648,0.949605,0.406721,2,5,0,64.2227,0.9926
-62.9019,0.993446,0.406721,3,7,0,63.5943,1.0153
-62.0881,0.988718,0.406721,2,5,0,63.5169,1.46131
-62.0853,0.997973,0.406721,2,3,0,62.1767,1.46031
-61.8864,0.995792,0.406721,2,7,0,62.3499,1.29669
-61.947,0.99588,0.406721,2,7,0,62.06,1.39875
-62.0758,0.991597,0.406721,1,3,0,62.2186,1.45694
-62.134,0.999322,0.406721,3,7,0,62.1487,1.47652
-62.1426,0.999893,0.406721,2,3,0,62.1488,1.47921
-61.8817,0.997227,0.406721,2,7,0,62.337,1.32604
-61.9055,0.995379,0.406721,2,7,0,62.0719,1.271
-62.514,0.962511,0.406721,2,7,0,63.4595,1.57045
-62.2136,0.996789,0.406721,1,3,0,62.6702,1.50002
-62.0225,0.999391,0.406721,4,15,0,62.2684,1.43629
-61.9175,0.997051,0.406721,2,5,0,62.1704,1.37815
-61.9976,0.998525,0.406721,4,15,0,62.0027,1.42539
-61.9535,1,0.406721,2,3,0,61.9978,1.40266
-61.8812,0.999063,0.406721,2,7,0,62.0168,1.31753
-63.6117,0.945077,0.406721,2,5,0,63.9188,1.74174
-62.4888,0.999219,0.406721,3,15,0,63.636,1.0833
-61.8954,0.998942,0.406721,2,7,0,62.6059,1.35597
-61.9071,0.99896,0.406721,3,7,0,61.949,1.36896
-62.3303,0.98603,0.406721,2,5,0,62.5097,1.53001
-61.9169,0.97916,0.406721,2,5,0,63.4933,1.37763
-61.9025,0.999889,0.406721,2,3,0,61.9232,1.36426
-62.2507,0.97948,0.406721,2,7,0,62.7989,1.13434
-61.8827,0.952653,0.406721,2,5,0,64.3309,1.33115
-61.9095,0.998332,0.406721,2,7,0,61.9523,1.26721
-62.0272,0.994046,0.406721,3,7,0,62.1911,1.20221
-62.011,1,0.406721,1,1,0,62.0272,1.20881
-62.0327,0.994416,0.406721,2,7,0,62.2969,1.44051
-62.0409,0.999226,0.406721,3,7,0,62.1058,1.44379
-61.9651,0.999247,0.406721,1,3,0,62.0769,1.40919
-61.9306,0.99977,0.406721,2,3,0,61.9792,1.38807
-62.6952,0.977458,0.406721,2,7,0,62.9668,1.04705
-62.1313,0.983133,0.406721,1,3,0,63.2546,1.16665
-61.9345,0.992125,0.406721,1,3,0,62.4219,1.24808
-61.8839,0.998141,0.406721,4,15,0,62.0327,1.3351
-62.1682,0.985904,0.406721,2,7,0,62.4709,1.15596
-62.0531,1,0.406721,2,3,0,62.1687,1.1924
-61.9803,0.999345,0.406721,2,3,0,62.0863,1.22261
-61.8813,0.997367,0.406721,3,7,0,62.1299,1.32262
-61.9154,0.995657,0.406721,2,5,0,62.0693,1.37637
-61.9804,0.998159,0.406721,3,7,0,62.0169,1.41712
-61.8849,0.997528,0.406721,2,7,0,62.1183,1.30011
-61.936,0.984293,0.406721,4,15,0,62.5538,1.39177
-62.0062,0.989937,0.406721,2,7,0,62.4121,1.21084
-61.9341,0.991572,0.406721,2,7,0,62.4031,1.39047
-61.9782,0.991605,0.406721,2,7,0,62.3309,1.2236
-61.9713,0.999788,0.406721,2,3,0,61.9922,1.22703
-62.0729,0.998512,0.406721,3,7,0,62.073,1.18538
-62.5322,0.978845,0.406721,2,5,0,63.1094,1.57412
-62.0599,0.987843,0.406721,2,5,0,63.1972,1.45112
-61.8939,0.99095,0.406721,2,5,0,62.533,1.35392
-61.9302,0.99634,0.406721,2,7,0,62.0553,1.25104
-61.959,0.998402,0.406721,2,3,0,61.9776,1.23348
-62.08,0.997736,0.406721,3,15,0,62.0883,1.45845
-61.9382,0.995797,0.406721,1,3,0,62.2622,1.39318
-61.9124,0.998876,0.406721,2,7,0,62.0095,1.26466
-61.9092,1,0.406721,1,1,0,61.9125,1.26748
-61.9693,0.995786,0.406721,1,3,0,62.0339,1.22803
-61.9567,1,0.406721,1,1,0,61.9689,1.23474
-62.1261,0.992276,0.406721,2,5,0,62.3449,1.474
-62.1255,0.999999,0.406721,4,15,0,62.1273,1.47379
-62.2462,0.989431,0.406721,2,7,0,62.7705,1.13547
-61.8861,0.999246,0.406721,2,5,0,62.3054,1.34077
-62.1952,0.982834,0.406721,3,7,0,62.612,1.49484
-62.1715,1,0.406721,1,1,0,62.1973,1.48797
-62.6911,0.968469,0.406721,1,3,0,63.2652,1.6044
-62.0322,0.992697,0.406721,2,7,0,63.2228,1.20026
-61.9862,0.986501,0.406721,2,5,0,62.658,1.41996
-62.5351,0.986361,0.406721,2,7,0,62.6521,1.57472
-62.3958,0.999696,0.406721,2,3,0,62.569,1.54521
-62.352,1,0.406721,2,3,0,62.3977,1.53515
-63.6276,0.978209,0.406721,3,7,0,63.6489,1.74376
-61.9206,0.985328,0.406721,2,7,0,64.6461,1.38066
-62.8573,0.971447,0.406721,2,5,0,63.1273,1.02185
-62.5537,0.999961,0.406721,4,15,0,62.8939,1.07129
-63.4868,0.942447,0.406721,1,3,0,64.0813,0.940522
-63.7432,0.987358,0.406721,1,1,0,63.7483,0.912381
-63.4152,0.99983,0.406721,4,15,0,63.8412,1.71602
-63.4668,0.998339,0.406721,1,1,0,63.4995,1.72291
-62.7623,1,0.406721,3,7,0,63.4442,1.61704
-61.8812,0.998642,0.406721,3,15,0,62.8676,1.31862
-61.9229,0.997524,0.406721,3,7,0,61.9903,1.25625
-62.351,0.986258,0.406721,2,5,0,62.4628,1.11123
-61.8996,0.988682,0.406721,2,7,0,62.9637,1.36102
-62.0383,0.990106,0.406721,2,7,0,62.3311,1.19788
-62.1852,0.970128,0.406721,2,7,0,63.2846,1.49199
-61.9143,0.990823,0.406721,2,7,0,62.7579,1.26307
-62.8175,0.942922,0.406721,2,7,0,64.212,1.62651
-62.8218,0.999855,0.406721,1,1,0,62.854,1.62723
-62.2164,0.986233,0.406721,1,3,0,63.479,1.5008
-62.15,0.991365,0.406721,2,7,0,62.7708,1.16113
-62.1216,1,0.406721,1,1,0,62.1504,1.16958
-62.1586,0.998354,0.406721,1,1,0,62.1591,1.15865
-61.884,0.997363,0.406721,2,5,0,62.3075,1.30255
-62.1946,0.984399,0.406721,3,15,0,62.5575,1.49469
-63.0786,0.982053,0.406721,2,7,0,63.177,1.66815
-62.653,0.998765,0.406721,3,7,0,63.2735,1.59741
-63.0164,0.991006,0.406721,2,3,0,63.041,1.65866
-62.252,0.986319,0.406721,2,7,0,63.952,1.51038
-64.5567,0.93608,0.406721,2,5,0,65.2461,1.85023
-62.3405,0.995197,0.406721,3,15,0,64.9086,1.11352
-62.0047,0.98858,0.406721,1,3,0,62.7367,1.21151
-62.0219,0.99975,0.406721,2,3,0,62.0223,1.20434
-62.2362,0.996214,0.406721,4,15,0,62.241,1.13794
-62.2344,1,0.406721,1,1,0,62.2508,1.1384
-62.5837,0.988686,0.406721,4,15,0,62.8473,1.58429
-62.2771,0.987202,0.406721,3,7,0,63.4599,1.51687
-62.2499,1,0.406721,1,1,0,62.2805,1.50983
-61.8853,0.991804,0.406721,2,5,0,62.6735,1.29926
-61.964,0.992232,0.406721,2,7,0,62.2017,1.23082
-62.201,0.981945,0.406721,1,3,0,62.5052,1.14701
-62.259,0.999627,0.406721,3,7,0,62.2592,1.13231
-61.9878,0.999428,0.406721,3,15,0,62.3228,1.42073
-61.9979,0.999606,0.406721,1,1,0,61.9988,1.42552
-62.0478,0.9987,0.406721,2,3,0,62.0538,1.44649
-62.0332,0.999659,0.406721,4,15,0,62.0816,1.44072
-61.9982,0.999913,0.406721,4,15,0,62.0415,1.21431
-61.9037,0.999946,0.406721,2,7,0,62.0059,1.27286
-61.9074,0.999857,0.406721,2,3,0,61.9102,1.26921
-62.0977,0.996144,0.406721,3,7,0,62.098,1.1771
-61.9749,0.999824,0.406721,3,7,0,62.1201,1.22521
-61.8868,0.999504,0.406721,2,5,0,62.0048,1.34214
-61.8816,0.999984,0.406721,2,7,0,61.8882,1.32565
-61.9422,0.987368,0.406721,3,7,0,62.4033,1.3958
-61.8846,0.998304,0.406721,2,7,0,62.0351,1.30092
-62.0091,0.992646,0.406721,2,7,0,62.1804,1.43053
-62.0157,0.998467,0.406721,2,3,0,62.0709,1.4334
-62.003,0.999791,0.406721,2,3,0,62.0314,1.42781
-61.8878,0.99951,0.406721,2,7,0,62.0436,1.29382
-64.1744,0.948623,0.406721,3,15,0,64.1895,1.80884
-64.3866,0.997872,0.406721,2,3,0,64.3974,1.83216
-64.1006,1,0.406721,1,1,0,64.3793,1.8005
-63.8313,1,0.406721,2,3,0,64.0928,1.76896
-63.0843,1,0.406721,2,3,0,63.8189,1.66901
-65.2268,0.970444,0.406721,4,15,0,65.2272,1.91695
-64.8332,1,0.406721,1,1,0,65.216,1.87857
-65.0272,0.978199,0.406721,2,3,0,65.9936,1.89775
-64.552,0.994976,0.406721,4,15,0,65.5077,1.84974
-63.3784,0.989377,0.406721,1,3,0,65.1691,1.71105
-63.1975,1,0.406721,1,1,0,63.3733,1.6857
-62.4371,0.986256,0.406721,1,3,0,63.8637,1.55431
-63.8081,0.950207,0.406721,2,7,0,65.3028,0.905592
-63.8962,0.995584,0.406721,1,1,0,63.9523,0.896559
-62.2778,0.930982,0.406721,1,3,0,66.1977,1.12781
-62.5254,0.975872,0.406721,2,7,0,63.4292,1.57276
-62.5621,0.998707,0.406721,1,1,0,62.5722,1.58006
-63.8367,0.979816,0.406721,3,7,0,63.8994,1.7696
-63.2971,1,0.406721,2,3,0,63.8764,1.69984
-63.9916,0.983546,0.406721,2,3,0,64.0239,1.78795
-64.1493,0.995178,0.406721,1,1,0,64.167,1.80601
-64.4139,0.979136,0.406721,2,3,0,65.1542,1.8351
-63.5715,1,0.406721,2,3,0,64.4209,1.73659
-62.9204,1,0.406721,2,3,0,63.5608,1.6435
-63.0078,0.997058,0.406721,1,1,0,63.0161,1.65731
-62.9181,1,0.406721,1,1,0,63.0125,1.64312
-62.0547,0.997758,0.406721,2,7,0,63.0706,1.44915
-64.0979,0.943428,0.406721,2,7,0,64.8829,0.87665
-65.8441,0.938159,0.406721,2,3,0,65.9361,0.734284
-64.6252,0.997648,0.406721,2,3,0,66.0487,0.828771
-64.4709,1,0.406721,1,1,0,64.6831,0.842232
-62.9831,0.97635,0.406721,1,3,0,65.2798,1.00378
-63.1161,0.993605,0.406721,1,1,0,63.1251,0.985799
-62.5478,0.994729,0.406721,2,3,0,63.3652,1.07235
-62.0238,0.978764,0.406721,1,3,0,63.293,1.20356
-62.1361,0.996315,0.406721,2,3,0,62.1389,1.16519
-62.1768,0.998187,0.406721,1,1,0,62.1772,1.15355
-63.8242,0.95707,0.406721,2,7,0,64.0423,0.903923
-63.5779,1,0.406721,1,1,0,63.8205,0.930273
-61.9062,0.985463,0.406721,2,5,0,64.3354,1.27033
-62.5679,0.97549,0.406721,3,7,0,63.049,1.06873
-62.6384,0.99671,0.406721,1,1,0,62.6459,1.05649
-61.9057,0.984155,0.406721,2,5,0,63.5708,1.36753
-62.0991,0.991019,0.406721,4,15,0,62.3256,1.46507
-62.0772,1,0.406721,1,1,0,62.0992,1.45746
-61.9358,0.997763,0.406721,2,5,0,62.2353,1.24725
-62.1673,0.990147,0.406721,2,7,0,62.3625,1.48674
-61.882,0.999513,0.406721,2,5,0,62.2092,1.31031
-61.9285,0.998584,0.406721,2,7,0,61.9402,1.38659
-62.1746,0.983025,0.406721,2,7,0,62.6802,1.48888
-61.927,0.991,0.406721,2,7,0,62.6821,1.3855
-61.8922,0.986139,0.406721,3,7,0,62.5506,1.35146
-62.3447,0.952334,0.406721,2,5,0,64.0917,1.53345
-62.7941,0.978233,0.406721,1,3,0,63.0741,1.62253
-62.8997,0.989688,0.406721,2,3,0,63.2356,1.64014
-64.4394,0.978296,0.406721,4,15,0,64.448,0.845026
-61.9394,0.98146,0.406721,2,5,0,65.4023,1.24493
-61.9423,0.999959,0.406721,2,3,0,61.9437,1.24312
-61.8882,0.987572,0.406721,2,5,0,62.5228,1.34493
-62.0496,0.990848,0.406721,2,7,0,62.2831,1.19367
-62.0476,0.99953,0.406721,2,3,0,62.0802,1.1944
-62.5745,0.958941,0.406721,1,3,0,63.2753,1.06756
-62.6602,0.995996,0.406721,1,1,0,62.6651,1.05282
-62.6493,1,0.406721,1,1,0,62.6895,1.05465
-62.6075,1,0.406721,2,3,0,62.664,1.06179
-62.6295,0.99897,0.406721,1,1,0,62.653,1.05801
-62.5653,1,0.406721,2,3,0,62.6353,1.06921
-62.5498,1,0.406721,2,3,0,62.5879,1.07199
-62.5187,1,0.406721,1,1,0,62.5646,1.07768
-62.5074,1,0.406721,1,1,0,62.5413,1.07979
-62.3627,0.938379,0.406721,3,15,0,65.2587,1.53765
-61.8813,0.993196,0.406721,2,7,0,62.8013,1.31563
-62.0734,0.969454,0.406721,2,7,0,63.1462,1.45609
-62.201,0.996352,0.406721,2,3,0,62.2042,1.49651
-62.4913,0.991472,0.406721,2,3,0,62.4915,1.56578
-62.06,0.999737,0.406721,4,15,0,62.4918,1.45115
-61.9335,0.996306,0.406721,1,3,0,62.2185,1.39007
-62.1947,0.982265,0.406721,2,7,0,62.7222,1.4947
-61.8845,0.999991,0.406721,4,15,0,62.1845,1.30106
-61.8891,0.999304,0.406721,2,7,0,61.9147,1.34645
-61.9534,0.994811,0.406721,2,7,0,62.1095,1.40261
-61.9134,0.998449,0.406721,3,7,0,62.0501,1.37465
-62.3901,0.984752,0.406721,2,5,0,62.567,1.10291
-62.1431,0.997982,0.406721,1,3,0,62.4888,1.16315
-62.1093,1,0.406721,1,1,0,62.1422,1.17342
-61.9433,0.99446,0.406721,1,3,0,62.3075,1.24252
-61.9003,0.998731,0.406721,1,3,0,61.9899,1.27645
-61.8877,0.999671,0.406721,1,3,0,61.9124,1.29409
-61.9012,0.9994,0.406721,2,7,0,61.9155,1.27548
-61.8816,0.984908,0.406721,4,15,0,62.5425,1.31246
-61.8848,0.997547,0.406721,4,15,0,61.9854,1.30035
-62.0902,0.988349,0.406721,2,7,0,62.3524,1.46201
-62.4407,0.978822,0.406721,1,3,0,62.7992,1.55508
-62.0635,0.990366,0.406721,1,3,0,62.8817,1.45244
-62.0924,0.998837,0.406721,3,7,0,62.1652,1.46277
-62.0245,0.999114,0.406721,2,3,0,62.138,1.43716
-61.9284,0.999527,0.406721,3,7,0,62.0702,1.38647
-61.9244,0.995258,0.406721,2,7,0,62.158,1.25517
-61.9247,0.998439,0.406721,2,7,0,62.009,1.3838
-62.4847,0.968138,0.406721,3,15,0,63.4274,1.08408
-61.9096,1,0.406721,4,15,0,62.4645,1.26714
-62.0311,0.988948,0.406721,2,7,0,62.378,1.43988
-62.0004,0.999015,0.406721,2,3,0,62.0757,1.42664
-62.1502,0.99162,0.406721,1,3,0,62.2638,1.48157
-62.3029,0.994323,0.406721,3,15,0,62.5192,1.12196
-62.3182,0.999305,0.406721,1,1,0,62.3305,1.11848
-63.0535,0.951522,0.406721,1,3,0,63.6336,0.994122
-61.9142,0.97461,0.406721,2,7,0,64.4325,1.37535
-62.463,0.981915,0.406721,2,5,0,62.7015,1.55986
-62.2943,0.986327,0.406721,2,7,0,63.3477,1.12393
-62.3604,0.996997,0.406721,1,1,0,62.3611,1.1092
-62.3892,0.99956,0.406721,2,3,0,62.3994,1.10311
-62.1392,0.960494,0.406721,2,7,0,64.1527,1.47815
-61.9893,0.997151,0.406721,1,3,0,62.2581,1.42144
-61.9266,0.998815,0.406721,1,3,0,62.037,1.3852
-62.603,0.978487,0.406721,2,7,0,62.8875,1.58801
-61.8893,0.993079,0.406721,2,7,0,63.0618,1.34681
-62.2088,0.943882,0.406721,2,5,0,64.4383,1.14498
-62.1895,1,0.406721,1,1,0,62.2141,1.15009
-62.1893,0.999073,0.406721,2,3,0,62.2487,1.15014
-62.1552,0.989577,0.406721,2,7,0,62.7381,1.48309
-62.5261,0.993518,0.406721,4,15,0,62.5762,1.5729
-61.8821,1,0.406721,3,7,0,62.5019,1.32819
-62.1822,0.991747,0.406721,2,7,0,62.2272,1.15207
-62.5905,0.982835,0.406721,4,15,0,63.0286,1.06474
-62.8127,0.997334,0.406721,3,15,0,62.8415,1.62569
-62.7397,1,0.406721,1,1,0,62.8172,1.61307
-63.3518,0.981164,0.406721,3,7,0,64.04,1.70741
-63.2875,1,0.406721,2,3,0,63.3743,1.69849
-63.1924,1,0.406721,2,3,0,63.2976,1.68496
-63.3583,0.992904,0.406721,4,15,0,63.8177,1.7083
-63.4201,0.998001,0.406721,1,1,0,63.4476,1.71668
-61.8813,0.996463,0.406721,2,7,0,63.6347,1.31515
-61.8844,0.999796,0.406721,2,5,0,61.8891,1.33648
-61.9345,0.998404,0.406721,2,7,0,61.9537,1.24811
-61.9357,0.994164,0.406721,2,5,0,62.2121,1.39154
-61.8813,0.999961,0.406721,2,7,0,61.939,1.3221
-62.2338,0.984257,0.406721,2,7,0,62.5374,1.50553
-62.2431,0.999951,0.406721,3,7,0,62.2527,1.50803
-64.0384,0.951208,0.406721,2,5,0,64.4694,1.79337
-63.8279,1,0.406721,1,1,0,64.0372,1.76854
-62.7778,0.983842,0.406721,1,3,0,64.6556,1.61973
-62.895,0.995999,0.406721,1,1,0,62.8963,1.63939
-62.8323,1,0.406721,1,1,0,62.9048,1.62901
-64.6806,0.971256,0.406721,3,7,0,64.7479,1.86308
-66.5817,0.956706,0.406721,2,3,0,66.5846,2.03614
-66.4124,1,0.406721,1,1,0,66.6498,2.02213
-63.6698,0.997717,0.406721,4,15,0,66.3389,1.74909
-63.6586,0.99105,0.406721,4,15,0,64.4716,0.921422
-63.9501,0.995175,0.406721,2,3,0,63.9552,0.891141
-64.0192,0.99652,0.406721,1,1,0,64.089,0.884303
-62.6157,0.970469,0.406721,2,7,0,65.8461,1.59041
-62.006,0.997533,0.406721,4,15,0,62.823,1.42919
-62.3334,0.983636,0.406721,2,7,0,62.7968,1.53076
-62.0489,0.993618,0.406721,1,3,0,62.6127,1.44693
-62.4059,0.976764,0.406721,1,3,0,62.8452,1.54746
-62.9687,0.971835,0.406721,1,3,0,63.3663,1.65119
-62.0796,0.998742,0.406721,2,5,0,63.1088,1.45829
-62.0998,0.999235,0.406721,1,1,0,62.1011,1.46531
-61.9506,0.997353,0.406721,2,7,0,62.2721,1.40092
-61.9147,0.999516,0.406721,1,3,0,61.971,1.37583
-62.4008,0.97259,0.406721,2,7,0,63.1898,1.10069
-62.0504,0.999855,0.406721,4,15,0,62.4261,1.19337
-61.9556,0.999861,0.406721,3,7,0,62.0683,1.23535
-62.0129,0.998151,0.406721,2,3,0,62.0143,1.20802
-62.1324,0.993896,0.406721,1,3,0,62.1848,1.16631
-62.6465,0.964054,0.406721,1,3,0,63.1405,1.05512
-62.1159,0.984095,0.406721,1,3,0,63.1759,1.17135
-62.1198,0.999942,0.406721,2,3,0,62.1283,1.17014
-61.9036,0.999321,0.406721,2,5,0,62.1669,1.27293
-62.2268,0.969731,0.406721,2,5,0,63.1042,1.14032
-61.9183,0.988649,0.406721,2,7,0,62.835,1.37878
-61.8898,0.998357,0.406721,2,7,0,62.0091,1.29039
-61.9629,0.996959,0.406721,3,7,0,62.0297,1.23139
-62.0975,0.991242,0.406721,1,3,0,62.2107,1.17718
-62.0806,1,0.406721,1,1,0,62.0994,1.18276
-62.0348,0.980311,0.406721,2,7,0,62.9573,1.44135
-62.0955,0.996617,0.406721,2,3,0,62.1493,1.46383
-62.5399,0.971552,0.406721,1,3,0,63.083,1.57566
-61.9132,0.997175,0.406721,4,15,0,62.7706,1.3745
-62.0591,0.989795,0.406721,2,5,0,62.336,1.45079
-61.9287,0.997085,0.406721,2,7,0,62.2377,1.38668
-61.9103,1,0.406721,2,3,0,61.9287,1.37193
-62.5637,0.979726,0.406721,2,5,0,62.7609,1.06949
-61.8895,1,0.406721,3,15,0,62.5354,1.34716
-62.2376,0.981982,0.406721,2,7,0,62.6682,1.1376
-62.2077,1,0.406721,1,1,0,62.2403,1.14525
-61.883,0.994758,0.406721,2,7,0,62.5187,1.33226
-62.0692,0.99083,0.406721,2,7,0,62.2703,1.18665
-62.5957,0.972653,0.406721,2,7,0,63.2392,1.06384
-61.9585,0.99469,0.406721,2,5,0,62.89,1.40554
-61.9167,0.973837,0.406721,2,7,0,63.1612,1.2611
-61.9148,0.999919,0.406721,2,3,0,61.9221,1.26261
-62.4099,0.955539,0.406721,2,7,0,63.7451,1.09883
-61.8915,0.986302,0.406721,3,7,0,63.186,1.35049
-61.9309,0.997604,0.406721,2,7,0,61.997,1.38826
-61.9288,0.995348,0.406721,2,5,0,62.1794,1.25196
