# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = WSLS_model
# start_datetime = 2024-03-06 10:36:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpyU5IGk/standata-4f1077b72f55.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/WSLS-202403061136-1-4cb121.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/WSLS-profile-202403061136-1-0e0b63.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=WSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,winprob,lossprob
# Adaptation terminated
# Step size = 0.29112
# Diagonal elements of inverse mass matrix:
# 0.21494, 0.0831789
-58.0425,0.988598,0.29112,4,15,0,59.5411,3.12943,0.990102
-61.5279,0.955617,0.29112,3,7,0,61.7975,4.18262,1.14949
-60.8622,0.997156,0.29112,4,15,0,62.8523,4.00057,1.01584
-57.7482,0.997791,0.29112,3,9,0,61.704,2.39342,1.32323
-62.6355,0.939822,0.29112,3,7,0,63.2064,2.18176,0.380054
-62.8177,0.993844,0.29112,2,3,0,63.3757,2.28376,0.338394
-61.0947,0.987863,0.29112,1,3,0,63.6821,2.40001,0.476476
-61.0034,1,0.29112,3,15,0,61.5846,2.53043,0.467233
-59.8632,1,0.29112,2,3,0,61.0002,2.61712,0.58637
-61.6635,0.980197,0.29112,3,7,0,62.2592,2.11507,0.497293
-61.5206,1,0.29112,1,1,0,61.7102,2.11925,0.510994
-61.5821,0.998763,0.29112,4,15,0,62.9017,3.54842,1.87934
-60.1448,0.999355,0.29112,2,3,0,61.7804,3.25382,1.79698
-59.7521,1,0.29112,2,3,0,60.2548,3.25879,1.73542
-58.711,0.996557,0.29112,4,15,0,61.5127,3.46814,1.06762
-59.9215,0.992732,0.29112,4,15,0,60.6316,3.63998,1.55003
-60.1877,0.997911,0.29112,3,7,0,60.5481,3.54768,1.66998
-60.7961,0.997164,0.29112,4,15,0,62.1962,4.02492,1.27881
-59.6635,0.994378,0.29112,3,9,0,61.3584,1.86035,1.0854
-57.38,1,0.29112,4,15,0,59.6404,2.73824,1.15431
