# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = WSLS_model
# start_datetime = 2024-03-06 10:36:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpyU5IGk/standata-4f1077b72f55.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/WSLS-202403061136-2-4cb121.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/WSLS-profile-202403061136-2-0e0b63.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=WSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,winprob,lossprob
# Adaptation terminated
# Step size = 0.237848
# Diagonal elements of inverse mass matrix:
# 0.207443, 0.0835104
-57.5317,0.999998,0.237848,4,15,0,57.8882,2.97021,1.15397
-57.5282,0.999991,0.237848,4,15,0,57.5578,2.47458,1.22095
-57.5048,0.999649,0.237848,3,7,0,57.6197,2.51706,1.13003
-57.9763,0.995012,0.237848,4,15,0,58.1422,3.23421,1.18997
-59.738,0.985092,0.237848,4,15,0,60.6899,3.02342,1.80077
-57.5855,0.999872,0.237848,3,7,0,59.9459,3.02186,1.20464
-58.5567,0.988538,0.237848,3,7,0,59.1178,3.33861,1.42959
-58.7055,0.999084,0.237848,3,7,0,59.0607,3.48863,1.28219
-59.1543,0.997443,0.237848,3,7,0,59.4196,3.62102,1.11153
-57.4441,0.998949,0.237848,3,15,0,59.3245,2.8618,1.13353
-57.7646,0.996865,0.237848,3,15,0,57.9946,3.13154,1.20275
-57.9028,0.998263,0.237848,3,7,0,58.133,3.19699,1.2361
-58.3018,0.989771,0.237848,3,15,0,59.8874,2.48454,1.5595
-57.6301,0.999494,0.237848,4,15,0,58.6949,2.50231,1.05193
-57.518,0.998073,0.237848,3,11,0,57.9779,2.85735,1.32955
-58.3531,0.995374,0.237848,4,15,0,58.4762,2.22683,1.42343
-57.6128,0.999882,0.237848,3,7,0,58.4874,2.41664,1.19593
-57.6141,0.999545,0.237848,2,3,0,57.655,2.41578,1.2008
-57.4621,0.9955,0.237848,2,7,0,58.0636,2.5284,1.20517
-57.8009,0.994443,0.237848,3,9,0,58.1514,3.15065,1.20312
